航班日期,航线金额,月份,日期,星期几,季节,节假日
2023-01-01,168320.0,1,1,6,1,True
2023-01-02,222618.0,1,2,0,1,True
2023-01-03,304062.0,1,3,1,1,False
2023-01-04,377547.0,1,4,2,1,False
2023-01-05,297465.0,1,5,3,1,False
2023-01-06,303005.5,1,6,4,1,False
2023-01-07,288221.0,1,7,5,1,False
2023-01-08,328543.0,1,8,6,1,False
2023-01-09,375304.0,1,9,0,1,False
2023-01-10,362887.0,1,10,1,1,False
2023-01-11,357772.5,1,11,2,1,False
2023-01-12,431589.0,1,12,3,1,False
2023-01-13,494540.0,1,13,4,1,False
2023-01-14,335227.0,1,14,5,1,False
2023-01-15,456654.0,1,15,6,1,False
2023-01-16,440310.0,1,16,0,1,False
2023-01-17,260349.0,1,17,1,1,False
2023-01-18,559139.0,1,18,2,1,False
2023-01-19,323501.2,1,19,3,1,False
2023-01-20,454527.0,1,20,4,1,False
2023-01-21,148099.0,1,21,5,1,False
2023-01-22,253113.0,1,22,6,1,True
2023-01-23,191355.0,1,23,0,1,True
2023-01-24,169125.0,1,24,1,1,True
2023-01-25,272704.0,1,25,2,1,True
2023-01-26,259483.0,1,26,3,1,True
2023-01-27,598771.0,1,27,4,1,True
2023-01-28,280759.0,1,28,5,1,False
2023-01-29,367982.0,1,29,6,1,False
2023-01-30,357371.0,1,30,0,1,False
2023-01-31,265813.0,1,31,1,1,False
2023-02-01,508242.5,2,1,2,1,False
2023-02-02,505321.0,2,2,3,1,False
2023-02-03,528976.5,2,3,4,1,False
2023-02-04,583265.5,2,4,5,1,False
2023-02-05,497566.0,2,5,6,1,False
2023-02-06,814376.5,2,6,0,1,False
2023-02-07,658279.0,2,7,1,1,False
2023-02-08,499214.0,2,8,2,1,False
2023-02-09,769453.2,2,9,3,1,False
2023-02-10,1001299.08,2,10,4,1,False
2023-02-11,794217.5,2,11,5,1,False
2023-02-12,835610.41,2,12,6,1,False
2023-02-13,840242.5,2,13,0,1,False
2023-02-14,743494.5,2,14,1,1,False
2023-02-15,927966.5,2,15,2,1,False
2023-02-16,796660.5,2,16,3,1,False
2023-02-17,961799.5,2,17,4,1,False
2023-02-18,765424.5,2,18,5,1,False
2023-02-19,770186.65,2,19,6,1,False
2023-02-20,778941.0,2,20,0,1,False
2023-02-21,651726.5,2,21,1,1,False
2023-02-22,842161.8,2,22,2,1,False
2023-02-23,813549.5,2,23,3,1,False
2023-02-24,970835.5,2,24,4,1,False
2023-02-25,721968.1,2,25,5,1,False
2023-02-26,688658.46,2,26,6,1,False
2023-02-27,745007.65,2,27,0,1,False
2023-02-28,530352.0,2,28,1,1,False
2023-03-01,848282.5,3,1,2,1,False
2023-03-02,826814.0,3,2,3,1,False
2023-03-03,998159.58,3,3,4,1,False
2023-03-04,654577.5,3,4,5,1,False
2023-03-05,629626.23,3,5,6,1,False
2023-03-06,866008.0,3,6,0,1,False
2023-03-07,689832.0,3,7,1,1,False
2023-03-08,916357.95,3,8,2,1,False
2023-03-09,845927.25,3,9,3,1,False
2023-03-10,965023.95,3,10,4,1,False
2023-03-11,755436.51,3,11,5,1,False
2023-03-12,891284.0,3,12,6,1,False
2023-03-13,963370.67,3,13,0,1,False
2023-03-14,912661.0,3,14,1,1,False
2023-03-15,1025412.4,3,15,2,1,False
2023-03-16,1016912.5,3,16,3,1,False
2023-03-17,1252845.5,3,17,4,1,False
2023-03-18,890978.4,3,18,5,1,False
2023-03-19,954786.0,3,19,6,1,False
2023-03-20,1008696.76,3,20,0,1,False
2023-03-21,857568.5,3,21,1,1,False
2023-03-22,915791.0,3,22,2,1,False
2023-03-23,987067.0,3,23,3,1,False
2023-03-24,1216899.19,3,24,4,1,False
2023-03-25,856275.97,3,25,5,1,False
2023-03-26,748217.0,3,26,6,1,False
2023-03-27,960822.51,3,27,0,1,False
2023-03-28,933061.0,3,28,1,1,False
2023-03-29,1015982.05,3,29,2,1,False
2023-03-30,848891.0,3,30,3,1,False
2023-03-31,1003347.57,3,31,4,1,False
2023-04-01,796777.5,4,1,5,2,False
2023-04-02,804999.84,4,2,6,2,False
2023-04-03,762737.92,4,3,0,2,False
2023-04-04,709784.5,4,4,1,2,False
2023-04-05,934582.52,4,5,2,2,True
2023-04-06,1015240.0,4,6,3,2,False
2023-04-07,1103251.0,4,7,4,2,False
2023-04-08,992408.7,4,8,5,2,False
2023-04-09,1232235.0,4,9,6,2,False
2023-04-10,1034633.9,4,10,0,2,False
2023-04-11,924859.0,4,11,1,2,False
2023-04-12,1085148.0,4,12,2,2,False
2023-04-13,829978.92,4,13,3,2,False
2023-04-14,1150195.5,4,14,4,2,False
2023-04-15,923859.42,4,15,5,2,False
2023-04-16,851879.5,4,16,6,2,False
2023-04-17,1030405.0,4,17,0,2,False
2023-04-18,965825.5,4,18,1,2,False
2023-04-19,1110618.65,4,19,2,2,False
2023-04-20,1056114.0,4,20,3,2,False
2023-04-21,1190196.0,4,21,4,2,False
2023-04-22,870671.0,4,22,5,2,False
2023-04-23,927391.0,4,23,6,2,False
2023-04-24,938770.0,4,24,0,2,False
2023-04-25,930889.0,4,25,1,2,False
2023-04-26,1120127.0,4,26,2,2,False
2023-04-27,1375922.5,4,27,3,2,False
2023-04-28,2023185.0,4,28,4,2,False
2023-04-29,1893363.0,4,29,5,2,False
2023-04-30,1173705.8,4,30,6,2,False
2023-05-01,963656.5,5,1,0,2,True
2023-05-02,1253929.0,5,2,1,2,True
2023-05-03,1693220.45,5,3,2,2,True
2023-05-04,1101863.0,5,4,3,2,False
2023-05-05,763843.0,5,5,4,2,False
2023-05-06,768664.56,5,6,5,2,False
2023-05-07,884627.96,5,7,6,2,False
2023-05-08,909652.34,5,8,0,2,False
2023-05-09,869111.0,5,9,1,2,False
2023-05-10,1042204.0,5,10,2,2,False
2023-05-11,1060655.92,5,11,3,2,False
2023-05-12,1258222.69,5,12,4,2,False
2023-05-13,957179.21,5,13,5,2,False
2023-05-14,1052102.0,5,14,6,2,False
2023-05-15,1013194.0,5,15,0,2,False
2023-05-16,1000035.0,5,16,1,2,False
2023-05-17,1027148.0,5,17,2,2,False
2023-05-18,1077221.66,5,18,3,2,False
2023-05-19,1252152.0,5,19,4,2,False
2023-05-20,911722.69,5,20,5,2,False
2023-05-21,891104.0,5,21,6,2,False
2023-05-22,957982.92,5,22,0,2,False
2023-05-23,869728.56,5,23,1,2,False
2023-05-24,873990.0,5,24,2,2,False
2023-05-25,934890.38,5,25,3,2,False
2023-05-26,1072510.3,5,26,4,2,False
2023-05-27,816694.0,5,27,5,2,False
2023-05-28,903073.57,5,28,6,2,False
2023-05-29,693085.5,5,29,0,2,False
2023-05-30,874183.6,5,30,1,2,False
2023-05-31,811798.25,5,31,2,2,False
2023-06-01,907815.89,6,1,3,2,False
2023-06-02,968284.67,6,2,4,2,False
2023-06-03,677049.96,6,3,5,2,False
2023-06-04,831527.9,6,4,6,2,False
2023-06-05,879803.0,6,5,0,2,False
2023-06-06,960232.0,6,6,1,2,False
2023-06-07,871624.9,6,7,2,2,False
2023-06-08,895427.75,6,8,3,2,False
2023-06-09,1058969.5,6,9,4,2,False
2023-06-10,894901.0,6,10,5,2,False
2023-06-11,849092.69,6,11,6,2,False
2023-06-12,1039710.69,6,12,0,2,False
2023-06-13,1000859.0,6,13,1,2,False
2023-06-14,799673.0,6,14,2,2,False
2023-06-15,1088123.7,6,15,3,2,False
2023-06-16,1305711.0,6,16,4,2,False
2023-06-17,944081.02,6,17,5,2,False
2023-06-18,850739.0,6,18,6,2,False
2023-06-19,965046.1,6,19,0,2,False
2023-06-20,898700.69,6,20,1,2,False
2023-06-21,1393685.4,6,21,2,2,False
2023-06-22,1071145.0,6,22,3,2,True
2023-06-23,824413.67,6,23,4,2,True
2023-06-24,1163064.2,6,24,5,2,False
2023-06-25,1004475.0,6,25,6,2,False
2023-06-26,1216100.0,6,26,0,2,False
2023-06-27,1243555.0,6,27,1,2,False
2023-06-28,1340751.33,6,28,2,2,False
2023-06-29,1455810.34,6,29,3,2,False
2023-06-30,1514924.0,6,30,4,2,False
2023-07-01,1600342.0,7,1,5,3,False
2023-07-02,1507161.0,7,2,6,3,False
2023-07-03,1576220.9,7,3,0,3,False
2023-07-04,1420518.9,7,4,1,3,False
2023-07-05,1369710.0,7,5,2,3,False
2023-07-06,1419153.51,7,6,3,3,False
2023-07-07,1731024.95,7,7,4,3,False
2023-07-08,1494955.0,7,8,5,3,False
2023-07-09,1390611.0,7,9,6,3,False
2023-07-10,1113104.2,7,10,0,3,False
2023-07-11,1118741.0,7,11,1,3,False
2023-07-12,1288496.0,7,12,2,3,False
2023-07-13,1312807.2,7,13,3,3,False
2023-07-14,1536558.0,7,14,4,3,False
2023-07-15,1131123.5,7,15,5,3,False
2023-07-16,1234224.3,7,16,6,3,False
2023-07-17,1187106.5,7,17,0,3,False
2023-07-18,1146967.0,7,18,1,3,False
2023-07-19,1214883.0,7,19,2,3,False
2023-07-20,1226728.0,7,20,3,3,False
2023-07-21,1516092.1,7,21,4,3,False
2023-07-22,1070806.9,7,22,5,3,False
2023-07-23,1245508.0,7,23,6,3,False
2023-07-24,1213374.98,7,24,0,3,False
2023-07-25,1173222.75,7,25,1,3,False
2023-07-26,1249540.9,7,26,2,3,False
2023-07-27,1357512.0,7,27,3,3,False
2023-07-28,1584770.75,7,28,4,3,False
2023-07-29,1323776.85,7,29,5,3,False
2023-07-30,1420226.4,7,30,6,3,False
2023-07-31,1014350.5,7,31,0,3,False
2023-08-01,1262745.5,8,1,1,3,False
2023-08-02,1135166.55,8,2,2,3,False
2023-08-03,1258242.05,8,3,3,3,False
2023-08-04,1454933.25,8,4,4,3,False
2023-08-05,1300840.0,8,5,5,3,False
2023-08-06,1539924.67,8,6,6,3,False
2023-08-07,1522894.8,8,7,0,3,False
2023-08-08,1428027.38,8,8,1,3,False
2023-08-09,1344937.5,8,9,2,3,False
2023-08-10,1493480.84,8,10,3,3,False
2023-08-11,1362527.0,8,11,4,3,False
2023-08-12,1250125.09,8,12,5,3,False
2023-08-13,1322321.96,8,13,6,3,False
2023-08-14,1255850.43,8,14,0,3,False
2023-08-15,1426696.13,8,15,1,3,False
2023-08-16,1557261.67,8,16,2,3,False
2023-08-17,1699881.5,8,17,3,3,False
2023-08-18,1655054.72,8,18,4,3,False
2023-08-19,1393638.78,8,19,5,3,False
2023-08-20,1761062.5,8,20,6,3,False
2023-08-21,1470660.4,8,21,0,3,False
2023-08-22,1326424.6,8,22,1,3,False
2023-08-23,1383640.9,8,23,2,3,False
2023-08-24,1350979.0,8,24,3,3,False
2023-08-25,1522733.96,8,25,4,3,False
2023-08-26,1160429.1,8,26,5,3,False
2023-08-27,1306020.9,8,27,6,3,False
2023-08-28,1207037.9,8,28,0,3,False
2023-08-29,1056702.09,8,29,1,3,False
2023-08-30,1141309.46,8,30,2,3,False
2023-08-31,1032264.9,8,31,3,3,False
2023-09-01,1145115.34,9,1,4,3,False
2023-09-02,984614.52,9,2,5,3,False
2023-09-03,963960.8,9,3,6,3,False
2023-09-04,1065648.17,9,4,0,3,False
2023-09-05,1169040.0,9,5,1,3,False
2023-09-06,1243452.15,9,6,2,3,False
2023-09-07,1267530.0,9,7,3,3,False
2023-09-08,1485038.0,9,8,4,3,False
2023-09-09,1037426.4,9,9,5,3,False
2023-09-10,1151934.0,9,10,6,3,False
2023-09-11,1185992.0,9,11,0,3,False
2023-09-12,1021536.21,9,12,1,3,False
2023-09-13,1181335.93,9,13,2,3,False
2023-09-14,1158416.55,9,14,3,3,False
2023-09-15,1559377.0,9,15,4,3,False
2023-09-16,1030231.8,9,16,5,3,False
2023-09-17,1080377.65,9,17,6,3,False
2023-09-18,824769.4,9,18,0,3,False
2023-09-19,998605.8,9,19,1,3,False
2023-09-20,1290602.51,9,20,2,3,False
2023-09-21,1337769.25,9,21,3,3,False
2023-09-22,1853112.25,9,22,4,3,False
2023-09-23,1158333.24,9,23,5,3,False
2023-09-24,1288741.38,9,24,6,3,False
2023-09-25,1231422.12,9,25,0,3,False
2023-09-26,952809.05,9,26,1,3,False
2023-09-27,1129070.62,9,27,2,3,False
2023-09-28,1277175.0,9,28,3,3,False
2023-09-29,1293194.91,9,29,4,3,True
2023-09-30,1289520.6,9,30,5,3,False
2023-10-01,1132305.13,10,1,6,4,True
2023-10-02,929430.21,10,2,0,4,True
2023-10-03,1154310.28,10,3,1,4,True
2023-10-04,1212090.19,10,4,2,4,True
2023-10-05,1547942.11,10,5,3,4,True
2023-10-06,1455762.87,10,6,4,4,True
2023-10-07,1141958.3,10,7,5,4,False
2023-10-08,910356.68,10,8,6,4,False
2023-10-09,877952.55,10,9,0,4,False
2023-10-10,984409.78,10,10,1,4,False
2023-10-11,1085623.5,10,11,2,4,False
2023-10-12,1102464.7,10,12,3,4,False
2023-10-13,1422089.8,10,13,4,4,False
2023-10-14,935261.5,10,14,5,4,False
2023-10-15,1235573.06,10,15,6,4,False
2023-10-16,1052274.04,10,16,0,4,False
2023-10-17,907235.3,10,17,1,4,False
2023-10-18,998778.0,10,18,2,4,False
2023-10-19,819007.4,10,19,3,4,False
2023-10-20,1655060.1,10,20,4,4,False
2023-10-21,1039669.5,10,21,5,4,False
2023-10-22,1226692.95,10,22,6,4,False
2023-10-23,1129058.0,10,23,0,4,False
2023-10-24,1024030.0,10,24,1,4,False
2023-10-25,1179550.0,10,25,2,4,False
2023-10-26,1188020.55,10,26,3,4,False
2023-10-27,1576083.5,10,27,4,4,False
2023-10-28,918978.5,10,28,5,4,False
2023-10-29,1047956.0,10,29,6,4,False
2023-10-30,758238.63,10,30,0,4,False
2023-10-31,716503.0,10,31,1,4,False
2023-11-01,727994.15,11,1,2,4,False
2023-11-02,669907.0700000001,11,2,3,4,False
2023-11-03,1230672.5,11,3,4,4,False
2023-11-04,793102.27,11,4,5,4,False
2023-11-05,1116953.0,11,5,6,4,False
2023-11-06,944338.94,11,6,0,4,False
2023-11-07,890673.22,11,7,1,4,False
2023-11-08,1069648.79,11,8,2,4,False
2023-11-09,1015611.35,11,9,3,4,False
2023-11-10,1366791.13,11,10,4,4,False
2023-11-11,748164.0,11,11,5,4,False
2023-11-12,1019717.68,11,12,6,4,False
2023-11-13,803832.1,11,13,0,4,False
2023-11-14,839001.0,11,14,1,4,False
2023-11-15,955419.06,11,15,2,4,False
2023-11-16,975966.94,11,16,3,4,False
2023-11-17,1363330.5,11,17,4,4,False
2023-11-18,577611.0,11,18,5,4,False
2023-11-19,1047725.45,11,19,6,4,False
2023-11-20,817996.58,11,20,0,4,False
2023-11-21,677633.15,11,21,1,4,False
2023-11-22,927573.35,11,22,2,4,False
2023-11-23,923415.55,11,23,3,4,False
2023-11-24,1254911.5,11,24,4,4,False
2023-11-25,703587.1,11,25,5,4,False
2023-11-26,1037352.99,11,26,6,4,False
2023-11-27,697799.0,11,27,0,4,False
2023-11-28,861266.13,11,28,1,4,False
2023-11-29,879273.9,11,29,2,4,False
2023-11-30,916970.78,11,30,3,4,False
2023-12-01,1128874.36,12,1,4,4,False
2023-12-02,641010.94,12,2,5,4,False
2023-12-03,794180.93,12,3,6,4,False
2023-12-04,795034.76,12,4,0,4,False
2023-12-05,742323.4,12,5,1,4,False
2023-12-06,837563.9,12,6,2,4,False
2023-12-07,900932.4,12,7,3,4,False
2023-12-08,1249924.06,12,8,4,4,False
2023-12-09,639503.34,12,9,5,4,False
2023-12-10,981888.2,12,10,6,4,False
2023-12-11,814256.64,12,11,0,4,False
2023-12-12,709995.0,12,12,1,4,False
2023-12-13,1025052.83,12,13,2,4,False
2023-12-14,704870.6799999999,12,14,3,4,False
2023-12-15,1175926.55,12,15,4,4,False
2023-12-16,697042.91,12,16,5,4,False
2023-12-17,827886.29,12,17,6,4,False
2023-12-18,733181.8,12,18,0,4,False
2023-12-19,706395.58,12,19,1,4,False
2023-12-20,893987.06,12,20,2,4,False
2023-12-21,610993.0,12,21,3,4,False
2023-12-22,784390.58,12,22,4,4,False
2023-12-23,511316.54,12,23,5,4,False
2023-12-24,636612.78,12,24,6,4,False
2023-12-25,636306.1,12,25,0,4,False
2023-12-26,518279.4,12,26,1,4,False
2023-12-27,668665.35,12,27,2,4,False
2023-12-28,732326.64,12,28,3,4,False
2023-12-29,1040086.0,12,29,4,4,False
2023-12-30,740359.38,12,30,5,4,False
2023-12-31,503901.69,12,31,6,4,False
